127.0.0.1 - - [18/Jul/2020:01:19:26 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jul/2020:01:19:34 +0900] "GET /ajaxPro/0717/first.html HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [18/Jul/2020:01:19:34 +0900] "GET /ajaxPro/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [18/Jul/2020:01:19:39 +0900] "POST /ajaxPro/0717/add.jsp HTTP/1.1" 500 2724
0:0:0:0:0:0:0:1 - - [18/Jul/2020:01:19:39 +0900] "POST /ajaxPro/0717/add.jsp HTTP/1.1" 500 2724
0:0:0:0:0:0:0:1 - - [18/Jul/2020:01:19:39 +0900] "POST /ajaxPro/0717/add.jsp HTTP/1.1" 500 3194
0:0:0:0:0:0:0:1 - - [18/Jul/2020:01:21:03 +0900] "GET /ajaxPro/0717/first.html HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [18/Jul/2020:01:21:03 +0900] "GET /ajaxPro/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2020:01:21:09 +0900] "POST /ajaxPro/0717/add.jsp HTTP/1.1" 200 10
